10.0291 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
10.0299 	INFO 	Loaded monitor calibration from ['2025_08_10 19:43']
10.8691 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002417B639BA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002417B6393F0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024105D5A050>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.8691 	EXP 	window1: backgroundImage = ''
10.8691 	EXP 	window1: backgroundFit = 'none'
10.8831 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8837 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8843 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8849 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8857 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8862 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8867 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8873 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8876 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8878 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8883 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8888 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8892 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8897 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
